Year,Neighborhood,Case_Count,Median_Latitude,Median_Longitude
2010,Sutro Heights,52,37.778965,-122.508232115
2010,Telegraph Hill,173,37.8010025,-122.40634155
2010,Tenderloin,3785,37.78388214,-122.41402435
2010,Treasure Island,3,37.82855988,-122.36919403
2010,Union Street,316,37.7989502,-122.43082428
2010,University Mound,117,37.72855377,-122.419487
2010,Upper Market,135,37.75050354,-122.44352722
2010,Visitacion Valley,746,37.71160889,-122.41083907999999
2010,West Portal,70,37.74037743,-122.469108585
2010,Western Addition,479,37.7787323,-122.43836212
2010,Westwood Highlands,3,37.73246384,-122.45425415
2010,Westwood Park,47,37.72488785,-122.45655823
2011,Alamo Square,260,37.77489853,-122.43585205
2011,Anza Vista,60,37.780788425,-122.44114685
2011,Apparel City,128,37.73860931,-122.404930115
2011,Aquatic Park / Ft. Mason,40,37.80522919,-122.42111588
2011,Ashbury Heights,70,37.763328555,-122.44938278000001
2011,Balboa Terrace,3,37.73027039,-122.46837616
2011,Bayview,1544,37.731878280000004,-122.38917542
2011,Bernal Heights,1376,37.74302101000001,-122.41853333
2011,Bret Harte,301,37.72056198,-122.39163208
2011,Buena Vista,184,37.76997757,-122.43921661
2011,Candlestick Point SRA,36,37.71774292,-122.39261627
2011,Castro,259,37.76267242,-122.43307495
2011,Cathedral Hill,438,37.78568649,-122.42359161
2011,Cayuga,408,37.71956444,-122.44300079
2011,Central Waterfront,303,37.74900436,-122.38973236
2011,Chinatown,296,37.793926240000005,-122.40697097500001
2011,Civic Center,892,37.77802277,-122.41924667
2011,Clarendon Heights,78,37.75715256,-122.44673919499999
2011,Cole Valley,166,37.76816177,-122.44945526
2011,Corona Heights,91,37.76338577,-122.43727112
2011,Cow Hollow,119,37.79838562,-122.44246674
2011,Crocker Amazon,329,37.71199799,-122.44025421
2011,Diamond Heights,71,37.74282837,-122.43937683
2011,Dogpatch,96,37.760520935,-122.38951111
2011,Dolores Heights,636,37.75536728,-122.42356873
2011,Downtown / Union Square,746,37.78843689,-122.40659332
2011,Duboce Triangle,818,37.77050018,-122.4302597
2011,Eureka Valley,253,37.759552,-122.43949127
2011,Excelsior,1081,37.72213364,-122.43205261
2011,Fairmount,140,37.73925209,-122.42715454
2011,Financial District,224,37.791242600000004,-122.39979553
2011,Fisherman's Wharf,36,37.80613327,-122.41334152
2011,Forest Hill,39,37.75006485,-122.46248627
2011,Forest Knolls,50,37.75704193,-122.460292815
2011,Glen Park,111,37.73485565,-122.43462372
2011,Golden Gate Heights,273,37.75301743,-122.4728775
2011,Golden Gate Park,302,37.77183533,-122.48419189
2011,Haight Ashbury,371,37.77013779,-122.44741821
2011,Hayes Valley,539,37.77579498,-122.42645264
2011,Holly Park,398,37.73740768,-122.42383575
2011,Hunters Point,222,37.728549955,-122.37943268
2011,India Basin,40,37.73279953,-122.37582397
2011,Ingleside,485,37.7218399,-122.45716858
2011,Ingleside Terraces,53,37.7252655,-122.46491241
2011,Inner Richmond,1079,37.78082275,-122.46815491
2011,Inner Sunset,521,37.76361084,-122.46795654
2011,Japantown,124,37.78639221,-122.43145752000001
2011,Laguna Honda,35,37.74431229,-122.45917511
2011,Lake Street,91,37.78497314,-122.48091125
2011,Lakeshore,59,37.73071671,-122.49346924
2011,Laurel Heights / Jordan Park,96,37.783943175000005,-122.4521637
2011,Lincoln Park / Ft. Miley,4,37.784952165,-122.499378205
2011,Little Hollywood,69,37.71218109,-122.40001678
2011,Lone Mountain,263,37.77752304,-122.45111847
2011,Lower Haight,1240,37.77238083,-122.43043518
2011,Lower Nob Hill,1385,37.7883873,-122.41529083
2011,Lower Pacific Heights,310,37.78608704,-122.440502165
2011,Marina,438,37.801990505,-122.43624878
2011,McLaren Park,38,37.72266006,-122.41444397000001
2011,Merced Heights,360,37.712013245,-122.46707153
2011,Merced Manor,44,37.73247528,-122.47655105499999
2011,Midtown Terrace,39,37.74825668,-122.44944763
2011,Mint Hill,196,37.771053315,-122.42485046
2011,Miraloma Park,81,37.7412262,-122.45162201
2011,Mission,4989,37.76015091,-122.4172821
2011,Mission Bay,154,37.77311516,-122.39635468
2011,Mission Dolores,2212,37.76324463,-122.42440796
2011,Mission Terrace,875,37.72937393,-122.43405151
2011,Monterey Heights,8,37.733751295000005,-122.460414885
2011,Mt. Davidson Manor,43,37.72622681,-122.46147919
2011,Nob Hill,1309,37.79301453,-122.41464233
2011,Noe Valley,535,37.7492218,-122.43087769
2011,North Beach,830,37.800247195,-122.40739441
2011,Northern Waterfront,53,37.79930115,-122.40058136
2011,Oceanview,438,37.7157917,-122.45604706
2011,Outer Mission,649,37.70965576,-122.46114349
2011,Outer Richmond,1496,37.77978516,-122.4872818
2011,Outer Sunset,1684,37.757511135,-122.49711609
2011,Pacific Heights,527,37.79128265,-122.43009949
2011,Panhandle,488,37.77477646,-122.4429245
2011,Parkmerced,10,37.71717453,-122.473899845
2011,Parkside,537,37.74156952,-122.48841858
2011,Parnassus Heights,85,37.76533508,-122.45359039
2011,Peralta Heights,132,37.74714279,-122.40788269
2011,Polk Gulch,495,37.79325867,-122.42076874
2011,Portola,1881,37.72941971,-122.40676117
2011,Potrero Hill,691,37.75482559,-122.40260315
2011,Presidio Heights,71,37.78818512,-122.44942474
2011,Presidio National Park,3,37.79493713,-122.4690094
2011,Presidio Terrace,80,37.785518644999996,-122.464546205
2011,Produce Market,253,37.74326324,-122.39912415
2011,Rincon Hill,72,37.78647232,-122.39344788
2011,Russian Hill,747,37.79949951,-122.41612244
2011,Seacliff,112,37.78368759,-122.48928833
2011,Sherwood Forest,16,37.73851776,-122.457805635
2011,Showplace Square,363,37.76902771,-122.40583038
2011,Silver Terrace,947,37.73456955,-122.395401
2011,South Beach,71,37.78121948,-122.39076996
2011,South of Market,4222,37.77761841,-122.40882874
2011,St. Francis Wood,15,37.73955536,-122.46374512
2011,St. Mary's Park,275,37.73432159,-122.4263916
2011,Stonestown,22,37.72241402,-122.47521973
2011,Sunnydale,75,37.70969391,-122.41931152
2011,Sunnyside,259,37.73032761,-122.4442749
2011,Sutro Heights,97,37.77915955,-122.50630188
2011,Telegraph Hill,160,37.80098724,-122.40620422
2011,Tenderloin,4583,37.78384781,-122.41410065
2011,Treasure Island,2,37.82640839,-122.36883926499999
2011,Union Street,407,37.7990799,-122.42989349
2011,University Mound,221,37.72819138,-122.41938782
2011,Upper Market,185,37.75093842,-122.44278717
2011,Visitacion Valley,794,37.71165466,-122.41146851
2011,West Portal,72,37.74085236,-122.4702301
2011,Western Addition,458,37.778663635,-122.43847656
2011,Westwood Highlands,4,37.73118591,-122.45690917499999
2011,Westwood Park,40,37.72758865,-122.456424715
2012,Alamo Square,248,37.775804519999994,-122.43514252
2012,Anza Vista,61,37.78065109,-122.44114685
2012,Apparel City,126,37.73905945,-122.405433655
2012,Aquatic Park / Ft. Mason,31,37.80572128,-122.42102814
2012,Ashbury Heights,72,37.76312637,-122.44910430499999
2012,Balboa Terrace,12,37.73171616,-122.467350005
2012,Bayview,1811,37.73479843,-122.38998413
2012,Bernal Heights,1240,37.7436924,-122.41822052
2012,Bret Harte,311,37.72034836,-122.39241791
2012,Buena Vista,194,37.77034378,-122.4412384
2012,Candlestick Point SRA,30,37.71069527,-122.39269257
2012,Castro,251,37.76237869,-122.43471527
2012,Cathedral Hill,431,37.78408432,-122.42350006
2012,Cayuga,350,37.71954918,-122.44165039
2012,Central Waterfront,257,37.74900436,-122.38973236
2012,Chinatown,256,37.79389572,-122.40683746
2012,Civic Center,1094,37.77772141,-122.41949463
2012,Clarendon Heights,73,37.75715256,-122.44506836
2012,Cole Valley,136,37.76738358,-122.44948578
2012,Corona Heights,68,37.76405144,-122.43685913
2012,Cow Hollow,93,37.79814529,-122.44156647
2012,Crocker Amazon,348,37.712110519999996,-122.43919373
2012,Diamond Heights,58,37.74361038,-122.43768311
2012,Dogpatch,139,37.76055145,-122.38948822
2012,Dolores Heights,616,37.7555275,-122.42428589
2012,Downtown / Union Square,388,37.78869247,-122.40640259
2012,Duboce Triangle,636,37.7702446,-122.4302597
2012,Eureka Valley,284,37.75924683,-122.439186095
2012,Excelsior,969,37.72275162,-122.43125153
2012,Fairmount,144,37.740671160000005,-122.42684937
2012,Financial District,211,37.79163361,-122.39894867
2012,Fisherman's Wharf,69,37.806427,-122.41416168
2012,Forest Hill,49,37.75117874,-122.46152496
2012,Forest Knolls,37,37.75761795,-122.46276093
2012,Glen Park,97,37.73485565,-122.43507385
2012,Golden Gate Heights,298,37.75415039,-122.47177887
2012,Golden Gate Park,311,37.77183533,-122.48154449
2012,Haight Ashbury,556,37.77021027,-122.44732666
2012,Hayes Valley,535,37.77579498,-122.4262619
2012,Holly Park,466,37.73740768,-122.4239502
2012,Hunters Point,323,37.72700882,-122.38237762
2012,India Basin,25,37.74019241,-122.37741852
2012,Ingleside,362,37.721660615000005,-122.45832825
2012,Ingleside Terraces,56,37.72543907,-122.46750641
2012,Inner Richmond,1146,37.780582429999995,-122.46772766
2012,Inner Sunset,580,37.76360703,-122.46725464
2012,Japantown,103,37.78728104,-122.43035889
2012,Laguna Honda,32,37.745531084999996,-122.458499905
2012,Lake Street,94,37.78501129,-122.48142242
2012,Lakeshore,43,37.73059082,-122.49372101
2012,Laurel Heights / Jordan Park,101,37.78382492,-122.45340729
2012,Lincoln Park / Ft. Miley,4,37.778814315000005,-122.51412200499999
2012,Little Hollywood,104,37.71218109,-122.399162295
2012,Lone Mountain,299,37.77793884,-122.45214081
2012,Lower Haight,1182,37.77271843,-122.43043518
2012,Lower Nob Hill,1213,37.78775406,-122.41467285
2012,Lower Pacific Heights,348,37.78575897,-122.44191742
2012,Marina,363,37.8021698,-122.43624115
2012,McLaren Park,47,37.72266006,-122.41417694
2012,Merced Heights,294,37.713157655,-122.46709442
2012,Merced Manor,34,37.73314285,-122.47418976
2012,Midtown Terrace,45,37.74949646,-122.45053101
2012,Mint Hill,217,37.77136993,-122.42485046
2012,Miraloma Park,73,37.74119949,-122.45113373
2012,Mission,5653,37.76143646,-122.41792297
2012,Mission Bay,133,37.7722702,-122.39665222
2012,Mission Dolores,2314,37.76316833,-122.42405701
2012,Mission Terrace,841,37.72977448,-122.43019104
2012,Monterey Heights,2,37.73352623,-122.46317673
2012,Mt. Davidson Manor,24,37.72636795,-122.462104795
2012,Nob Hill,1198,37.79317856,-122.41438293
2012,Noe Valley,433,37.74769592,-122.42919159
2012,North Beach,742,37.8001976,-122.40739441
